項目, 問題, 解決辦法
1, kafka tutorial website, https://www.tutorialspoint.com/apache_kafka/apache_kafka_installation_steps.htm
2, Installing Apache Kafka Multi nodes and Multi Brokers, https://cuongba.com/installing-apache-kafka-multi-nodes-and-multi-brokers-on-ubuntu/
